s[1] N_CCN[m^-3]
0.0032 53677548.1063
0.0033 54872669.4261
0.0034 56072715.8121
0.0035 57274241.5746
0.0036 58473972.4257
0.0037 59668834.3386
0.0038 60855972.2096
0.0039 62032761.2425
0.004 63196811.9865
0.0041 64345970.3723
0.0042 65478313.9872
0.0043 66592145.2806
0.0044 67685982.4737
0.0045 68758548.7094
0.0046 69808760.9683
0.0047 70835716.8045
0.0048 71838682.3457
0.0049 72817079.0064
0.005 73770470.6785
0.0051 74698552.123
0.0052 75601136.0079
0.0053 76478142.1495
0.0054 77329586.4335
0.0055 78155570.5285
0.0056 78956272.1534
0.0057 79731936.5659
0.0058 80482867.6467
0.0059 81209420.534
0.006 81911994.672
0.0061 82591027.1377
0.0062 83246986.4602
0.0063 83880367.6851
0.0064 84491687.2838
0.0065 85081478.7273
0.0066 85650288.5634
0.0067 86198672.6277
0.0068 86727193.2848
0.0069 87236416.1708
0.007 87726907.8308
0.0071 88199233.6069
0.0072 88653955.3453
0.0073 89091630.099
0.0074 89512808.5482
0.0075 89918033.656
0.0076 90307839.4962
0.0077 90682750.1207
0.0078 91043279.7032
0.0079 91389930.9036
0.008 91723194.7384
0.0081 92043550.2233
0.0082 92351464.1224
0.0083 92647390.4632
0.0084 92931770.7208
0.0085 93205033.2932
0.0086 93467594.0292
0.0087 93719856.0705
0.0088 93962209.5473
0.0089 94195032.2465
0.009 94418689.4366
0.0091 94633534.2492
0.0092 94839907.6017
0.0093 95038138.7857
0.0094 95228545.5676
0.0095 95411434.0545
0.0096 95587099.6622
0.0097 95755827.1174
0.0098 95917890.4368
0.0099 96073553.5588
0.01 96223070.6543
0.011 97429616.2699
0.012 98238635.9723
0.013 98783859.447
0.014 99153671.4663
0.015 99406318.0552
0.016 99580235.9281
0.017 99700890.123
0.018 99785244.7098
0.019 99844674.0614
0.02 99886858.2473
0.021 99917020.769
0.022 99938740.6902
0.023 99954488.5361
0.024 99965981.9867
0.025 99974423.9706
0.026 99980662.7804
0.027 99985300.6931
0.028 99988768.1556
0.029 99991374.7752
0.03 99993344.6163
0.031 99994840.8153
0.032 99995982.8244
0.033 99996858.6133
0.034 99997533.2972
0.035 99998055.3399
0.036 99998460.9886
0.037 99998777.4848
0.038 99999025.3996
0.039 99999220.3373
0.04 99999374.1839
0.041 99999496.0367
0.042 99999592.8827
0.043 99999670.113
0.044 99999731.9005
0.045 99999781.489
0.046 99999821.4089
0.047 99999853.6405
0.048 99999879.7396
0.049 99999900.9321
0.05 99999918.1874
0.051 99999932.2739
0.052 99999943.8033
0.053 99999953.2632
0.054 99999961.0442
0.055 99999967.4592
0.056 99999972.7604
0.057 99999977.151
0.058 99999980.7953
0.059 99999983.8267
0.06 99999986.3536
0.061 99999988.4642
0.062 99999990.2305
0.063 99999991.7117
0.064 99999992.956
0.065 99999994.0034
0.066 99999994.8865
0.067 99999995.6325
0.068 99999996.2637
0.069 99999996.7987
0.07 99999997.253
0.071 99999997.6392
0.072 99999997.9682
0.073 99999998.2489
0.074 99999998.4886
0.075 99999998.6938
0.076 99999998.8695
0.077 99999999.0204
0.078 99999999.15
0.079 99999999.2615
0.08 99999999.3576
0.081 99999999.4405
0.082 99999999.5121
0.083 99999999.5741
0.084 99999999.6278
0.085 99999999.6743
0.086 99999999.7147
0.087 99999999.7498
0.088 99999999.7803
0.089 99999999.807
0.09 99999999.8302
0.091 99999999.8505
0.092 99999999.8682
0.093 99999999.8837
0.094 99999999.8973
0.095 99999999.9092
0.096 99999999.9196
0.097 99999999.9288
0.098 99999999.9369
0.099 99999999.944
0.1 99999999.9503
